	IndexID	FullID	Brain.code	Region	Period	Hemisphere	RIN	MonthsAge	Age	Age.1	Dissection.score	Exon.Array.CEL.files	Age.range	Description	Region.Area	mirVana.tRNA.prepped	mirVana.RIN	mirVana.rRNA.ratio	mirVana.conc..ng.ul.	good.to.go.	small.RNA.library.prepped	RNA.seq.as.of.June.2011	Exon.Array.as.of.June.2011
HSB112.DFC	40	HSB112.DFC	HSB112	DFC	2	R	9.6	2	8	8PCW	5	112.DFC.R.CEL	8_ Age <10 PCW	Early fetal	FC (DFC)			NA	NA		NA	Done	Done
HSB112.VFC	41	HSB112.VFC	HSB112	VFC	2	R	10	2	8	8PCW	5	112.VFC.R.CEL	8_ Age <10 PCW	Early fetal	FC (VFC)			NA	NA		NA	Done	Done
HSB112.MFC	42	HSB112.MFC	HSB112	MFC	2	R	10	2	8	8PCW	5	112.MFC.R.CEL	8_ Age <10 PCW	Early fetal	FC (MFC)			NA	NA		NA	Done	Done
HSB112.OFC	43	HSB112.OFC	HSB112	OFC	2	R	9.8	2	8	8PCW	5	112.OFC.R.CEL	8_ Age <10 PCW	Early fetal	FC (OFC)			NA	NA		NA	Done	Done
HSB112.M1CS1C	44	HSB112.M1CS1C	HSB112	M1CS1C	2	R	10	2	8	8PCW	5	112.M1C/S1C.R.CEL	8_ Age <10 PCW	Early fetal	FC-PC (M1C/S1C)			NA	NA		NA	Done	Done
HSB112.STC	45	HSB112.STC	HSB112	STC	2	R	10	2	8	8PCW	5	112.STC.R.CEL	8_ Age <10 PCW	Early fetal	TC (A1C/STC)			NA	NA		NA	Done	Done
HSB112.ITC	46	HSB112.ITC	HSB112	ITC	2	R	9.9	2	8	8PCW	4	112.ITC.R.CEL	8_ Age <10 PCW	Early fetal	TC (ITC)			NA	NA		NA	Done	Done
HSB112.PC	47	HSB112.PC	HSB112	PC	2	R	10	2	8	8PCW	5	112.PC.R.CEL	8_ Age <10 PCW	Early fetal	PC (IPC)			NA	NA		NA	Done	Done
HSB112.OC	48	HSB112.OC	HSB112	OC	2	R	9.8	2	8	8PCW	5	112.OC.R.CEL	8_ Age <10 PCW	Early fetal	OC			NA	NA		NA	Done	Done
HSB112.HIP	49	HSB112.HIP	HSB112	HIP	2	R	9.9	2	8	8PCW	4	112.HIP.R.CEL	8_ Age <10 PCW	Early fetal	HIP			NA	NA		NA	Done	Done
HSB112.AMY	50	HSB112.AMY	HSB112	AMY	2	R	9.9	2	8	8PCW	3	112.AMY.R.CEL	8_ Age <10 PCW	Early fetal	AMY			NA	NA		NA	Done	Done
HSB112.CGE	51	HSB112.CGE	HSB112	CGE	2	R	10	2	8	8PCW	3	112.CGE.R.CEL	8_ Age <10 PCW	Early fetal	CGE			NA	NA		NA	Done	Done
HSB112.LGE	52	HSB112.LGE	HSB112	LGE	2	R	10	2	8	8PCW	5	112.LGE.R.CEL	8_ Age <10 PCW	Early fetal	LGE			NA	NA		NA	Done	Done
HSB112.MGE	53	HSB112.MGE	HSB112	MGE	2	R	10	2	8	8PCW	4	112.MGE.R.CEL	8_ Age <10 PCW	Early fetal	MGE			NA	NA		NA	Done	Done
HSB112.DTH	54	HSB112.DTH	HSB112	DTH	2	R	9.9	2	8	8PCW	5	112.DTH.R.CEL	8_ Age <10 PCW	Early fetal	DTH			NA	NA		NA	Done	Done
HSB112.CBC	55	HSB112.CBC	HSB112	CBC	2	R	9.9	2	8	8PCW	4	112.URL.R.CEL	8_ Age <10 PCW	Early fetal	URL			NA	NA		NA	Done	Done
