array name	Sample name	Batch
HSB103.A1C	HSB103.A1C	2
HSB103.AMY	HSB103.AMY	2
HSB103.CBC	HSB103.CBC	2
HSB103.DFC	HSB103.DFC	2
HSB103.HIP	HSB103.HIP	2
HSB103.IPC	HSB103.IPC	2
HSB103.ITC	HSB103.ITC	2
HSB103.M1C	HSB103.M1C	2
HSB103.MFC	HSB103.MFC	2
HSB103.OFC	HSB103.OFC	2
HSB103.S1C	HSB103.S1C	2
HSB103.STR	HSB103.STR	2
HSB103.V1C	HSB103.V1C	2
HSB103.VFC	HSB103.VFC	2
HSB105.A1C	HSB105.A1C	2
HSB105.CBC	HSB105.CBC	2
HSB105.DFC	HSB105.DFC	2
HSB105.HIP	HSB105.HIP	2
HSB105.IPC	HSB105.IPC	2
HSB105.ITC	HSB105.ITC	2
HSB105.M1C	HSB105.M1C	2
HSB105.MFC	HSB105.MFC	2
HSB105.OFC	HSB105.OFC	2
HSB105.S1C	HSB105.S1C	2
HSB105.STC	HSB105.STC	2
HSB105.V1C	HSB105.V1C	2
HSB105.VFC	HSB105.VFC	2
HSB107.CBC	HSB107.CBC	2
HSB107.ITC	HSB107.ITC	2
HSB112.AMY	HSB112.AMY	2
HSB112.CBC	HSB112.CBC	2
HSB112.CGE	HSB112.CGE	2
HSB112.DFC	HSB112.DFC	2
HSB112.HIP	HSB112.HIP	2
HSB112.ITC	HSB112.ITC	2
HSB112.LGE	HSB112.LGE	2
HSB112.M1CS1C	HSB112.M1CS1C	2
HSB112.MD	HSB112.MD	2
HSB112.MFC	HSB112.MFC	2
HSB112.MGE	HSB112.MGE	2
HSB112.OC	HSB112.OC	2
HSB112.OFC	HSB112.OFC	2
HSB112.PC	HSB112.PC	2
HSB112.STC	HSB112.STC	2
HSB112.VFC	HSB112.VFC	2
HSB113.A1C	HSB113.A1C	2
HSB113.AMY	HSB113.AMY	2
HSB113.CBC	HSB113.CBC	2
HSB113.DFC	HSB113.DFC	2
HSB113.HIP	HSB113.HIP	2
HSB113.IPC	HSB113.IPC	2
HSB113.ITC	HSB113.ITC	2
HSB113.M1C	HSB113.M1C	2
HSB113.MD	HSB113.MD	2
HSB113.MFC	HSB113.MFC	2
HSB113.OFC	HSB113.OFC	2
HSB113.S1C	HSB113.S1C	2
HSB113.STR	HSB113.STR	2
HSB113.V1C	HSB113.V1C	2
HSB113.VFC	HSB113.VFC	2
HSB114.A1C	HSB114.A1C	1
HSB114.AMY	HSB114.AMY	1
HSB114.DFC	HSB114.DFC	1
HSB114.HIP	HSB114.HIP	1
HSB114.IPC	HSB114.IPC	1
HSB114.ITC	HSB114.ITC	1
HSB114.M1C	HSB114.M1C	1
HSB114.MFC	HSB114.MFC	1
HSB114.OFC	HSB114.OFC	1
HSB114.S1C	HSB114.S1C	1
HSB114.STC	HSB114.STC	1
HSB114.STR	HSB114.STR	1
HSB114.V1C	HSB114.V1C	1
HSB114.VFC	HSB114.VFC	1
HSB118.AMY	HSB118.AMY	2
HSB118.CBC	HSB118.CBC	2
HSB118.DFC	HSB118.DFC	2
HSB118.MD	HSB118.MD	2
HSB118.STC	HSB118.STC	2
HSB118.STR	HSB118.STR	2
HSB118.VFC	HSB118.VFC	2
HSB119.AMY	HSB119.AMY	2
HSB119.CBC	HSB119.CBC	2
HSB119.IPC	HSB119.IPC	2
HSB119.ITC	HSB119.ITC	2
HSB119.STC	HSB119.STC	2
HSB121.A1C	HSB121.A1C	1
HSB121.AMY	HSB121.AMY	1
HSB121.DFC	HSB121.DFC	1
HSB121.HIP	HSB121.HIP	1
HSB121.ITC	HSB121.ITC	1
HSB121.M1C	HSB121.M1C	1
HSB121.OFC	HSB121.OFC	1
HSB121.STC	HSB121.STC	1
HSB121.VFC	HSB121.VFC	1
HSB122.A1C	HSB122.A1C	1
HSB122.AMY	HSB122.AMY	1
HSB122.CBC	HSB122.CBC	1
HSB122.DFC	HSB122.DFC	1
HSB122.HIP	HSB122.HIP	1
HSB122.IPC	HSB122.IPC	1
HSB122.ITC	HSB122.ITC	1
HSB122.M1C	HSB122.M1C	1
HSB122.MD	HSB122.MD	1
HSB122.MFC	HSB122.MFC	1
HSB122.OFC	HSB122.OFC	1
HSB122.S1C	HSB122.S1C	1
HSB122.STC	HSB122.STC	1
HSB122.STR	HSB122.STR	1
HSB122.V1C	HSB122.V1C	1
HSB122.VFC	HSB122.VFC	1
HSB123.A1C	HSB123.A1C	1
HSB123.AMY	HSB123.AMY	1
HSB123.CBC	HSB123.CBC	1
HSB123.DFC	HSB123.DFC	1
HSB123.HIP	HSB123.HIP	1
HSB123.IPC	HSB123.IPC	1
HSB123.ITC	HSB123.ITC	1
HSB123.M1C	HSB123.M1C	1
HSB123.MD	HSB123.MD	1
HSB123.MFC	HSB123.MFC	1
HSB123.OFC	HSB123.OFC	1
HSB123.S1C	HSB123.S1C	1
HSB123.STC	HSB123.STC	1
HSB123.STR	HSB123.STR	1
HSB123.V1C	HSB123.V1C	1
HSB123.VFC	HSB123.VFC	1
HSB124.A1C	HSB124.A1C	1
HSB124.AMY	HSB124.AMY	1
HSB124.CBC	HSB124.CBC	1
HSB124.DFC	HSB124.DFC	1
HSB124.HIP	HSB124.HIP	1
HSB124.IPC	HSB124.IPC	1
HSB124.ITC	HSB124.ITC	1
HSB124.M1C	HSB124.M1C	1
HSB124.MD	HSB124.MD	1
HSB124.MFC	HSB124.MFC	1
